0.000000	0.000000
0.450486	0.450486	
0.945387	0.945387	
1.389528	1.389528	
1.824153	1.824153	
2.258777	2.258777	
2.715608	2.715608	
3.172439	3.172439	
3.603891	3.603891	
4.057550	4.057550	
4.542933	4.542933	
5.291629	5.291629	
5.926117	5.926117	
6.611363	6.611363	
7.258541	7.258541	
7.867649	7.867649	
8.552896	8.552896	
9.060486	9.060486	
9.720354	9.720354	
10.519809	10.519809	
11.116227	11.116227	
12.169477	12.169477	
12.842034	12.842034	
13.539971	13.539971	
14.085630	14.085630	
14.491703	14.491703	
15.062742	15.062742	
15.481504	15.481504	
16.014473	16.014473	
16.509374	16.509374	
17.004274	17.004274	
17.549934	17.549934	
17.994075	17.994075	
18.488976	18.488976	
18.996566	18.996566	
19.504157	19.504157	
19.897539	19.897539	
20.519337	20.519337	
20.950789	20.950789	
21.331482	21.331482	
22.549698	22.549698	
23.006529	23.006529	
23.463361	23.463361	
23.945571	23.945571	
24.377023	24.377023	
24.732336	24.732336	
25.328755	25.328755	
25.823656	25.823656	
26.255107	26.255107	
26.711938	26.711938	
27.219529	27.219529	
27.752499	27.752499	
28.247399	28.247399	
28.869197	28.869197	
29.402167	29.402167	
29.744790	29.744790	
30.569625	30.569625	
31.648254	31.648254	
32.105085	32.105085	
32.574606	32.574606	
33.069507	33.069507	
33.564407	33.564407	
34.059308	34.059308	
34.604967	34.604967	
35.112558	35.112558	
35.607458	35.607458	
36.153118	36.153118	
36.584569	36.584569	
37.130229	37.130229	
37.574370	37.574370	
38.272307	38.272307	
38.805277	38.805277	
39.541283	39.541283	
40.048873	40.048873	
40.772189	40.772189	
41.470126	41.470126	
41.939647	41.939647	
42.463099	42.463099	
42.850137	42.850137	
43.332348	43.332348	
43.868490	43.868490	
44.328494	44.328494	
44.817049	44.817049	
45.350019	45.350019	
46.187543	46.187543	
46.834721	46.834721	
47.535830	47.535830	
48.411423	48.411423	
49.134739	49.134739	
50.200679	50.200679	
51.177790	51.177790	
52.294489	52.294489	
53.132013	53.132013	
54.020296	54.020296	
54.921268	54.921268	
55.834931	55.834931	
57.091217	57.091217	
57.954120	57.954120	
58.931232	58.931232	
60.098689	60.098689	
60.999662	60.999662	
62.027532	62.027532	
62.700089	62.700089	
63.892927	63.892927	
64.908107	64.908107	
65.669492	65.669492	
66.836950	66.836950	
67.852131	67.852131	
68.918070	68.918070	
70.022079	70.022079	
71.138778	71.138778	
71.988991	71.988991	
73.080311	73.080311	
74.006663	74.006663	
75.059913	75.059913	
76.392337	76.392337	
77.102964	77.102964	
78.219662	78.219662	
79.514017	79.514017	
80.516508	80.516508	
81.582448	81.582448	
82.661077	82.661077	
83.739706	83.739706	
84.792956	84.792956	
85.770068	85.770068	
86.899456	86.899456	
88.066914	88.066914	
89.069404	89.069404	
90.198793	90.198793	
90.922109	90.922109	
92.102256	92.102256	
92.889021	92.889021	
93.663096	93.663096	
94.703657	94.703657	
95.465042	95.465042	
96.429463	96.429463	
97.355816	97.355816	
98.256788	98.256788	
99.183141	99.183141	
99.995285	99.995285	
100.680532	100.680532	
101.594195	101.594195	
102.482478	102.482478	
103.205794	103.205794	
104.208285	104.208285	
104.956980	104.956980	
105.769125	105.769125	
106.505131	106.505131	
107.190377	107.190377	
108.167489	108.167489	
109.144600	109.144600	
110.895786	110.895786	
111.910967	111.910967	
112.659663	112.659663	
113.573325	113.573325	
114.525057	114.525057	
115.413340	115.413340	
116.212795	116.212795	
117.088388	117.088388	
117.672117	117.672117	
118.623848	118.623848	
119.321785	119.321785	
120.171999	120.171999	
120.781107	120.781107	
122.050083	122.050083	
122.887607	122.887607	
123.813959	123.813959	
124.727622	124.727622	
125.666664	125.666664	
126.478808	126.478808	
127.379781	127.379781	
128.039648	128.039648	
128.712205	128.712205	
129.600488	129.600488	
130.336494	130.336494	
131.021741	131.021741	
131.897334	131.897334	
133.128241	133.128241	
133.838867	133.838867	
134.460665	134.460665	
135.222051	135.222051	
135.970746	135.970746	
136.643303	136.643303	
137.391999	137.391999	
138.102625	138.102625	
138.940149	138.940149	
139.904571	139.904571	
140.627887	140.627887	
141.427342	141.427342	
142.176037	142.176037	
142.924733	142.924733	
143.533841	143.533841	
144.472883	144.472883	
145.183510	145.183510	
145.944895	145.944895	
146.630142	146.630142	
147.416907	147.416907	
148.229052	148.229052	
148.888919	148.888919	
